Date,DJIA,Cases
2020-03-09,23851.02,420
2020-03-10,25018.16,493
2020-03-11,23553.22,514
2020-03-12,21200.62,748
2020-03-13,23185.62,911
2020-03-16,20188.52,2349
2020-03-17,21237.38,3222
2020-03-18,19898.92,4903
2020-03-19,20087.19,6174
2020-03-20,19173.98,7437
2020-03-23,18591.93,10728
2020-03-24,20704.91,11351
2020-03-25,21200.55,14160
2020-03-26,22552.17,18772
2020-03-27,21636.78,20039
2020-03-30,22327.48,15831
2020-03-31,21917.16,23296
2020-04-01,20943.51,28348
2020-04-02,21413.44,30045
2020-04-03,21052.53,31838
2020-04-06,22679.99,28584
2020-04-07,22653.86,30225
2020-04-08,23433.57,33682
2020-04-09,23719.37,34988
2020-04-13,23390.77,24932
2020-04-14,23949.76,25186
2020-04-15,23504.35,25379
2020-04-16,23537.68,31821
2020-04-17,24242.49,29778
2020-04-20,23650.44,25811
2020-04-21,23018.88,25455
2020-04-22,23475.82,31434
2020-04-23,23515.26,32997
2020-04-24,23775.27,34130
2020-04-27,24133.78,24218
2020-04-28,24101.55,23487
2020-04-29,24633.86,27205
2020-04-30,24345.72,32425
2020-05-01,23723.69,30225
2020-05-04,23749.76,21179
2020-05-05,23883.09,23206
2020-05-06,23664.64,24303
2020-05-07,23875.89,30615
2020-05-08,24331.32,28045
2020-05-11,24221.99,19299
2020-05-12,23764.78,24260
2020-05-13,23247.97,17740
2020-05-14,23625.34,34533
2020-05-15,23685.42,27119
2020-05-18,24597.37,24690
2020-05-19,24206.86,20691
2020-05-20,24575.9,24490
2020-05-21,24474.12,25523
2020-05-22,24465.16,26029
2020-05-26,24995.11,16953
2020-05-27,25548.27,20368
2020-05-28,25400.64,24198
2020-05-29,25383.11,23554
2020-06-01,25475.02,17358
2020-06-02,25742.65,20731
2020-06-03,26269.89,21109
2020-06-04,26281.82,20712
2020-06-05,27110.98,24424
2020-06-08,27572.44,18038
2020-06-09,27272.3,18595
2020-06-10,26989.99,22483
2020-06-11,25128.17,22688
2020-06-12,25605.54,28747
2020-06-15,25763.16,20588
2020-06-16,26289.98,24926
2020-06-17,26119.61,25603
2020-06-18,26080.1,28760
2020-06-19,25871.46,33309
2020-06-22,26024.96,28698
2020-06-23,26156.1,37921
2020-06-24,25445.94,37431
2020-06-25,25745.6,47010
2020-06-26,25015.55,46553
2020-06-29,25595.8,38602
2020-06-30,25812.88,46588
2020-07-01,25734.97,59741
2020-07-02,25827.36,55608
2020-07-06,26287.03,51214
2020-07-07,25890.18,56061
2020-07-08,26067.28,65378
2020-07-09,25706.09,62316
2020-07-10,26075.3,68569
2020-07-13,26085.8,56542
2020-07-14,26642.59,65004
2020-07-15,26870.1,72309
2020-07-16,26734.71,70183
2020-07-17,26671.95,77085
2020-07-20,26680.87,59017
2020-07-21,26840.4,63328
2020-07-22,27005.84,72662
2020-07-23,26652.33,74061
2020-07-24,26469.89,73914
2020-07-27,26584.77,53265
2020-07-28,26379.28,59193
2020-07-29,26539.57,65130
2020-07-30,26313.65,67146
2020-07-31,26428.32,68823
2020-08-03,26664.4,45304
2020-08-04,26828.47,51918
2020-08-05,27201.52,56252
2020-08-06,27386.98,55160
2020-08-07,27433.48,62142
2020-08-10,27791.44,44149
2020-08-11,27686.91,59189
2020-08-12,27976.84,55545
2020-08-13,27896.72,52153
2020-08-14,27931.02,56242
2020-08-17,27844.91,41818
2020-08-18,27778.07,41715
2020-08-19,27692.88,47290
2020-08-20,27739.73,47058
2020-08-21,27930.33,47713
2020-08-24,28308.46,36026
2020-08-25,28248.44,40926
2020-08-26,28331.92,47496
2020-08-27,28492.27,47226
2020-08-28,28653.87,46937
2020-08-31,28430.05,39567
2020-09-01,28645.66,38841
2020-09-02,29100.5,42792
2020-09-03,28292.73,45576
2020-09-04,28133.31,51292
2020-09-08,27500.89,28618
2020-09-09,27940.47,35566
2020-09-10,27534.58,39098
2020-09-11,27665.64,44600
2020-09-14,27993.33,34757
2020-09-15,27995.6,37229
2020-09-16,28032.38,44922
2020-09-17,27901.98,45398
2020-09-18,27657.42,48179
2020-09-21,27147.7,41635
2020-09-22,27288.18,50110
2020-09-23,26763.13,42950
2020-09-24,26815.44,46408
2020-09-25,27173.96,50219
2020-09-28,27584.06,39178
2020-09-29,27452.66,38934
2020-09-30,27781.7,46576
2020-10-01,27816.9,47483
2020-10-02,27682.81,51169
2020-10-05,28148.64,41616
2020-10-06,27772.76,41975
2020-10-07,28303.46,54803
2020-10-08,28425.51,55664
2020-10-09,28586.9,59093
2020-10-12,28837.52,49773
2020-10-13,28679.81,50815
2020-10-14,28514,58212
2020-10-15,28494.2,63389
2020-10-16,28606.31,69570
2020-10-19,28195.42,62185
2020-10-20,28308.79,58979
2020-10-21,28210.82,70563
2020-10-22,28363.66,75033
2020-10-23,28335.57,83174
2020-10-26,27685.38,70171
2020-10-27,27463.19,75831
2020-10-28,26519.95,85428
2020-10-29,26659.11,91703
2020-10-30,26501.6,98053
2020-11-02,26925.05,87234
2020-11-03,27480.03,99112
2020-11-04,27847.66,115979
2020-11-05,28390.18,123783
2020-11-06,28323.4,134554
2020-11-09,29157.97,125083
2020-11-10,29420.92,148096
2020-11-11,29397.63,154109
2020-11-12,29080.17,163915
2020-11-13,29479.81,178531
2020-11-16,29950.44,152483
2020-11-17,29783.35,167994
2020-11-18,29438.42,172828
2020-11-19,29483.23,190293
2020-11-20,29263.48,195144
2020-11-23,29591.27,160727
2020-11-24,30046.24,175930
2020-11-25,29872.47,195537
2020-11-27,29910.37,164390
2020-11-30,29638.64,153882
2020-12-01,29823.92,192554
2020-12-02,29883.79,211410
2020-12-03,29969.52,218926
2020-12-04,30218.26,225480
2020-12-07,30069.79,186549
2020-12-08,30173.88,226575
2020-12-09,30068.81,222551
2020-12-10,29999.26,208878
2020-12-11,30046.37,248765
2020-12-14,29861.55,197609
2020-12-15,30199.31,200902
2020-12-16,30154.54,241944
2020-12-17,30303.37,248038
2020-12-18,30179.05,237474
2020-12-21,30216.45,183994
2020-12-22,30015.51,199681
2020-12-23,30129.83,228480
2020-12-24,30199.87,202362
2020-12-28,30403.97,178995
2020-12-29,30335.67,210252
2020-12-30,30409.56,238880
2020-12-31,30606.48,231079
